lon,lat
-157.19718354282162,21.214256105629417
-157.18548189992413,21.20291861839909
-157.1577730533092,21.20201775508487
-157.15624394732905,21.19824879015538
-157.1485146519885,21.197130185193153
-157.12969821756562,21.199541687239023
-157.11091902577888,21.194338529738012
-157.09391886595392,21.19525373265806
-157.06054825347496,21.18567514437908
-157.04053556770964,21.18844708157748
-157.00027919810395,21.17904039797089
-156.98630190389346,21.184455844536433
-156.97971283203015,21.202456661051563
-156.98153153800345,21.206989059741176
-156.9711826064911,21.21533586901158
-156.957989805391,21.206489390547187
-156.95711982468254,21.200780911870726
-156.94859022556665,21.188766741449353
-156.9483626828154,21.17953489604056
-156.94438569497967,21.173296148906022
-156.9353359173623,21.16974917844668
-156.93064726651406,21.16955618557332
-156.92869845345473,21.17278795776015
-156.926734250617,21.16967064662729
-156.91926453719398,21.168684525973248
-156.91499741064828,21.171666398945092
-156.9134992751313,21.165876889094843
-156.89775775997512,21.161613183198412
-156.89270826689386,21.166381920547828
-156.89440794852607,21.170191612694868
-156.8851704460403,21.168035262569155
-156.88286047289156,21.161287369015994
-156.87949823448852,21.160942714962076
-156.8769246951583,21.166992677014846
-156.86630739427514,21.16139528738223
-156.84334631606296,21.16693259051672
-156.83082883207513,21.164089961809637
-156.82718366961808,21.16814278270949
-156.80434632676108,21.1752278641599
-156.79545649166673,21.167811345456983
-156.7911715184165,21.168102464501334
-156.7843070706345,21.17408377697399
-156.77289448943162,21.173756095165814
-156.76917047556972,21.176422873413387
-156.73962382052272,21.172909091974077
-156.7357863283525,21.16847327026241
-156.73746480871324,21.159160718797075
-156.73515420893014,21.157752267223138
-156.71169967945647,21.159678009999407
-156.71097775522145,21.148717350351703
-156.73569362153728,21.1149552790654
-156.7403925901077,21.114251135702883
-156.73946492480403,21.111326267170142
-156.74462238792748,21.111160960688018
-156.74387742488577,21.107606411782527
-156.76996099044678,21.089484057323236
-156.7753611553759,21.082489062582656
-156.7823133035763,21.082219051205318
-156.7910064633043,21.072696461396525
-156.79708316878728,21.06926711346447
-156.799503620195,21.071195098913176
-156.802746344336,21.066745048126347
-156.82171434664346,21.065389049069257
-156.82385594109113,21.061479865883268
-156.83238885477775,21.060046413347646
-156.8364155651189,21.05361507015356
-156.84695813352903,21.053466492068175
-156.84912697383234,21.048703685550816
-156.851887689134,21.050671020551942
-156.8481790846701,21.054958393938357
-156.85183102709001,21.057343421750797
-156.8675140924147,21.049653393234678
-156.8711789142706,21.050462434162796
-156.87446049483816,21.046001855400473
-156.89070855043104,21.049012801107057
-156.8948506797777,21.055137266418317
-156.9060115981708,21.05453016096499
-156.92029529739423,21.059383558011977
-156.966817256847,21.06723962139402
-156.96878894507324,21.07001779025138
-156.97952941000327,21.069599545036098
-156.9848123622106,21.07523477823045
-157.00085682600135,21.07683792538492
-156.99979930999746,21.07953045562417
-157.0186034527605,21.085305459128225
-157.02354695144413,21.085615966203456
-157.02867978111576,21.080206812969617
-157.02399276200697,21.085652762591373
-157.02827103262743,21.087513345985585
-157.0250987326216,21.09049312837774
-157.02885083859246,21.087244602805722
-157.03454114191788,21.094671494860034
-157.04805242013134,21.09569889521482
-157.06238460937257,21.10104732295206
-157.09748997975376,21.10359838969551
-157.10117499807237,21.100388325074075
-157.11267661601838,21.10081513621125
-157.14914678010888,21.091237322522282
-157.15662588793685,21.092976138670323
-157.21387194018345,21.090034283770343
-157.24261374566254,21.088022427090277
-157.2486148575317,21.084516727608342
-157.24678731410876,21.086778525391956
-157.25077861587187,21.08681076451867
-157.24967986123772,21.084283861345106
-157.2521829537339,21.087597542745556
-157.2981406004233,21.093137459775548
-157.30768969853102,21.09744258619125
-157.3108568319887,21.101999640498967
-157.300512147953,21.115309262991264
-157.3003302556841,21.124615555906356
-157.2967864016205,21.13343190332015
-157.28951893126703,21.13769439995444
-157.29103482524775,21.14288089112149
-157.2885294288164,21.146820957037338
-157.25115805128374,21.178272853774345
-157.25263106221323,21.182813099701974
-157.2485263186164,21.186862147202692
-157.24755776192598,21.204147896747557
-157.2586376162732,21.21439536221805
-157.26028313624496,21.217627425809724
-157.25766529211222,21.222450276965034
-157.25398913247238,21.224173326345298
-157.23883856802763,21.21785257525688
-157.22658719396637,21.217150791218796
-157.2115035954866,21.22088842203384
-157.19718354282162,21.214256105629417
