lon,lat
-159.38703997291486,22.216782361774595
-159.38240517470285,22.211371661561436
-159.38549079508198,22.214655626070194
-159.38344836869575,22.200368902260703
-159.37617889299096,22.19349389245999
-159.3643536610382,22.193840824230712
-159.35025788696115,22.18364215068939
-159.3317993318724,22.17746720065395
-159.3326435586149,22.172009584015207
-159.32683215349,22.157468348448734
-159.31310142628695,22.15006156102368
-159.31110392662194,22.146098956840895
-159.31395377383612,22.148043032287845
-159.30496980560886,22.143265793319756
-159.3062786523458,22.133090798567043
-159.30033564733523,22.127337797654008
-159.2959727584297,22.1150591251037
-159.29310835010065,22.11039650906103
-159.29480887910714,22.103285214603982
-159.29237762799784,22.097872154517507
-159.2966705701983,22.090201664966152
-159.29454247126728,22.075459522277885
-159.29768678746396,22.058825600540885
-159.3048181556855,22.050161961810204
-159.30453066313416,22.04490556862652
-159.31651061222883,22.017647079923517
-159.3195044582599,21.998760720739426
-159.3336862807353,21.993301672644293
-159.33558338059143,21.99083059263958
-159.33840407235525,21.991285451372644
-159.3325515787166,21.993916325274537
-159.34139383025453,21.99147571041099
-159.33971821331534,21.98443162591199
-159.33324261845488,21.965688834072743
-159.33233362997387,21.95851350254149
-159.3300104082289,21.954523022868184
-159.33373993775604,21.95852497510237
-159.32995569595272,21.956310426911465
-159.33142279231205,21.960106845058124
-159.33577212679816,21.96015782308868
-159.33977796887518,21.953030358213088
-159.34793569123676,21.955168474660354
-159.34842470969187,21.953940399948895
-159.3517084198533,21.949537715065894
-159.352541779159,21.949927504601746
-159.35363166411886,21.95133713560241
-159.3586244695266,21.946956845452767
-159.35788248039847,21.948144414230462
-159.35929107016082,21.953430188234982
-159.3610793790186,21.948855297988604
-159.36317322884247,21.944218886757067
-159.35171827433152,21.941619760694167
-159.34851902381453,21.937441055954295
-159.35057074186773,21.93643196730943
-159.34770149320858,21.93167647826323
-159.35049398289794,21.931474442939592
-159.3462747226299,21.925228011143723
-159.35348789167102,21.919694731981572
-159.35491383755632,21.91389924035042
-159.36230360991416,21.909176147596046
-159.368281760378,21.90295866678877
-159.38297286103983,21.903008497984434
-159.38402145884348,21.899139016755218
-159.3900372724961,21.893494981183487
-159.38770521079863,21.887515040839983
-159.39742131711526,21.882232502865854
-159.40345033117134,21.88042943050765
-159.40437529797117,21.868562857594128
-159.41792076819485,21.880002040868497
-159.41897772379497,21.878323194175632
-159.42907408883354,21.882417760295112
-159.4434905496286,21.881069369028857
-159.46913397462268,21.883514880027246
-159.47105276368075,21.8858226030331
-159.4788284423742,21.884119543835425
-159.48255258214292,21.88817932020148
-159.488462821815,21.8881754897395
-159.48793499637864,21.882791939344216
-159.49998700916564,21.886939429972873
-159.50258338108154,21.887406452496915
-159.51278801870086,21.894464268626596
-159.52659225723065,21.892925441238933
-159.53162905956856,21.897639457436817
-159.5517501212226,21.89543192394543
-159.56988103581247,21.89881736153037
-159.57510188797676,21.89673036213818
-159.57525287617403,21.89955763641276
-159.5786431630175,21.899378686183464
-159.58629336366272,21.900435735587145
-159.59117410855742,21.9039509879829
-159.58742654402408,21.902613887889952
-159.58978618046916,21.89504305127429
-159.5880588993629,21.892297304939856
-159.59137692203026,21.894774643653076
-159.59729965226393,21.89991248277917
-159.5975770880925,21.90212909636579
-159.6048557346371,21.91372500116935
-159.6083751239518,21.922110042534857
-159.60835861503162,21.931772118118296
-159.6170576618165,21.93885002423942
-159.6345476077791,21.942880043010888
-159.6382993834725,21.952880076494015
-159.64890192567665,21.95771664771458
-159.64942785511832,21.960505756670507
-159.6610031451095,21.96749341490446
-159.6673718008882,21.97884514912273
-159.68179562966944,21.984852388703633
-159.70531519505172,22.00562369663573
-159.71590543354566,22.015308565367185
-159.757768679932,22.02853124252256
-159.7642608513265,22.0651508598798
-159.77418657645651,22.097056602808156
-159.78590124695089,22.13950254180663
-159.7888096122516,22.149757485469276
-159.78418373527762,22.15861547739355
-159.7457199929655,22.157442174435424
-159.73070353423552,22.162415815209826
-159.72258838589883,22.167475783382617
-159.70706356400976,22.182977485581013
-159.70366100862307,22.195359956070966
-159.69676158806433,22.20799382410711
-159.66729529705623,22.223376113023683
-159.6399597262667,22.220179065018506
-159.62621023152496,22.225859082280415
-159.59828804692376,22.22391699657471
-159.5797988141266,22.21406106355833
-159.5656552616724,22.21758527093277
-159.55860624216797,22.214920208236293
-159.54813284643146,22.203950386338292
-159.54069937115744,22.202392933921388
-159.53172297157266,22.20799466575106
-159.51944004451903,22.22194687710858
-159.51387341258635,22.229464229954313
-159.5062605238708,22.229659574688124
-159.497870469448,22.222683187416635
-159.49784051305136,22.225767997676677
-159.48576253826675,22.222889201353418
-159.47669617236826,22.216379315047362
-159.46429877260874,22.223621770904398
-159.4549205542699,22.22219267807162
-159.43615293726364,22.225033142013867
-159.4276442485764,22.23239522987027
-159.42466726652762,22.224139676767727
-159.41940419128542,22.225038951746807
-159.40773091776376,22.221908715275404
